					Days	10	New estimates of effort - Remaining at end of day									
		Sviluppo UI	Deve guidare l'utente nell'inserimento dei dati aziendali complessi - Form con Validazione Real-time - Gestione Conflitti - Dashboard di Tracciabilità	Stefania Milani	Terminata	13	13	13	13	20	20	13	0	0	0	0
		Documentazione	Chiarezza su come configurare l'identità digitale dell'allevamento: - Manuale Variabili d'Ambiente - Business Rules	Stefania Milani	Terminata	2	2	2	2	2	2	2	0	0	0	0
		Testing	Mettere alla prova la "memoria" e la resistenza del sistema: - Integrità del Dato - Test di Sovrascrittura - Audit Trail Verification	Stefania Milani	Terminata	2	2	2	2	2	2	2	0	0	0	0
		Deploy	Passaggio finale per rendere l'allevamento operativo nel sistema: - Configurazione Segreti - Migrazione e Seed - Monitoraggio Integrità	Stefania Milani	Terminata	½	½	½	½	½	½	½	0	0	0	0
47	Come allevatore, voglio visualizzare le informazioni relative alla mia azienda, affinchè sia sempre al corrente di tutto ciò che succede al suo interno. 	Design API	Deve garantire che il client riceva sempre lo stato più recente del database, includendo i metadati di tracciabilità: - Endpoint di Lettura - Inclusione Metadati - Polling vs WebSockets	Elena Carmagnani	In corso 	8	8	8	8	8	8	8	8	8	8	8
		Implementazione metodo REST	Deve filtrare e preparare i dati per una visualizzazione sicura: - Data Aggregation - Cache Integrity - Security Scoping	Elena Carmagnani	In corso 	8	8	8	8	8	8	8	8	8	8	8
		Progettazione e implementazione DB	Organizzare i dati affinché la "storia" dell'allevamento sia facile da consultare: - View Materializzate o Aggregazioni - Collezione Audit per la UI	Elena Carmagnani	In corso 	3	3	3	3	3	3	3	3	3	3	3
		Sviluppo UI	L'interfaccia trasforma i dati in consapevolezza aziendale: - Dashboard di Riepilogo - Timeline di Tracciabilità - Indicatori di Sincronizzazione	Elena Carmagnani	Non iniziata 	8	8	8	8	8	8	8	8	8	8	8
		Documentazione	Spiegare come leggere e interpretare i dati visualizzati: - Guida ai Metadati - Configurazione Environment - Manuale Utente	Elena Carmagnani	Non iniziata 	2	2	2	2	2	2	2	2	2	2	2
		Testing	Verificare che la visualizzazione sia lo specchio fedele della realtà: - Visual Integrity Test - Permission Test - Load Testing sulla Visualizzazione	Elena Carmagnani	Non iniziata 	2	2	2	2	2	2	2	2	2	2	2
		Deploy	Mettere ala "centrale di controllo" online in modo sicuro: - HTTPS Enforcement - Monitoring della Latenza - Segreti UI	Elena Carmagnani	Non iniziata 	½	½	½	½	½	½	½				
46	Come allevatore, voglio eliminare le informazioni relative al mio allevamento, affinchè tutti i dati siano aggiornati nel mio sistema. 	Design API		Stefania Milani	Terminata	8	8	8	8	8	4	4	0	0	0	0
		Implementazione metodo REST	Creare endpoint DELETE per eliminazione allevamento con controllo autorizzazioni e gestione errori in caso di record collegati. 	Stefania Milani	Terminata	8	8	8	8	8	4	4	0	0	0	0
		Sviluppo UI	Inserire finestra di conferma eliminazione e notifiche di successo/errore.	Stefania Milani	Bloccata	8	8	8	8	8	8	8	8	8	8	8
		Documentazione	Documentare endpoint, codici di risposta e vincoli di eliminazione.	Stefania Milani	Terminata	2	2	2	2	2	2	2	2	0	0	0
		Testing	Testare eliminazione valida, tentativi non autorizzati e gestione relazioni esistenti.	Stefania Milani	Bloccata	2	2	2	2	2	2	2	0	0	0	0
		Deploy	Verificare migrazioni DB e corretto funzionamento API in ambiente di staging e produzione.	Stefania Milani	Bloccata	½	½	½	½	½	½	½	½	½	½	½
13	Come allevatore, voglio inserire nel sistema le anagrafiche dei miei animali, affinché possa visualizzare tutte le loro cartelle cliniche.	Design API		Stefania Milani	Terminata	8	8	8	8	8	8	8	0	0	0	0
		Implementazione metodo REST	Creare endpoint POST per inserimento anagrafica animale con validazione campi obbligatori e unicità matricola.	Stefania Milani	Terminata	8	8	8	8	8	20	8	0	0	0	0
		Progettazione e implementazione DB	Definire tabella animali con relazioni verso allevamento	Stefania Milani	Terminata	3	3	3	3	3	3	3	0	0	0	0
		Sviluppo UI	Realizzare form di inserimento con validazioni lato client e messaggi di errore chiari.	Stefania Milani	Terminata	8	8	8	8	8	8	8	0	0	0	0
		Documentazione	Descrivere payload richiesti, struttura dati e vincoli di validazione.	Stefania Milani	Terminata	2	2	2	2	2	2	2	0	0	0	0
		Testing	Testare inserimento corretto, campi mancanti e duplicazione dati identificativi.	Stefania Milani	Terminata	2	2	2	2	2	2	2	0	0	0	0
		Deploy	Applicare migrazioni DB e verificare sincronizzazione frontend-backend.	Stefania Milani	Terminata	½	½	½	½	½	½	½	0	0	0	0
49	Come allevatore, voglio visualizzare le informazioni relative alle mucche, affinché io sia sempre al corrente delle loro condizioni.	Design API		Stefania Milani	Terminata	8	8	8	8	8	8	8	8	5	5	0
		Implementazione metodo REST	Creare endpoint GET con supporto a ricerca, filtri e paginazione.	Stefania Milani	Terminata	8	8	8	8	8	8	8	8	8	8	0
		Progettazione e implementazione DB	Ottimizzare query tramite indici sui campi di ricerca più utilizzati.	Stefania Milani	Terminata	3	3	3	3	3	3	3	3	3	3	0
		Sviluppo UI	Mostrare elenco dettagliato delle mucche con possibilità di ricerca e visualizzazione scheda completa.	Stefania Milani	Terminata	8	8	8	8	8	8	8	8	8	8	0
		Documentazione	Documentare parametri di ricerca, formato risposta e gestione paginazione.	Stefania Milani	Terminata	2	2	2	2	2	2	2	2	2	2	0
		Testing	Verificare correttezza dati restituiti, performance query e gestione dataset vuoti.	Stefania Milani	Terminata	2	2	2	2	2	2	2	2	2	2	0
		Deploy	Monitorare performance API e corretto caricamento dati in produzione.	Stefania Milani	Terminata	½	½	½	½	½	½	½	½	½	½	0
50	Come allevatore, voglio eliminare le informazioni relative alle mucche, affinchè solo i dati necessari siano nel mio sistema. 	Design API		Alice Bortolotti	Terminata	8	8	8	8	8	8	8	8	8	8	0
		Implementazione metodo REST	Creare endpoint DELETE per rimozione mucca.	Alice Bortolotti	Terminata	8	8	8	8	8	8	8	8	8	8	0
		Sviluppo UI	Aggiungere conferma eliminazione e feedback visivo post-operazione.	Stefania Milani	Terminata	8	8	8	8	8	8	8	8	8	8	0
		Documentazione	Specificare comportamento della cancellazione e impatto sui dati correlati.	Alice Bortolotti	Terminata	2	2	2	2	2	2	2	2	2	2	0
		Testing	Testare eliminazione senza dati associati e gestione errori.	Alice Bortolotti	Terminata	2	2	2	2	2	2	2	2	2	2	0
		Deploy	Validare consistenza dati dopo il deploy e verificare log applicativi.	Stefania Milani	Terminata	½	½	½	½	½	½	½	½	½	½	0
45	Come allevatore, voglio modificare le informazioni relative alla mia allevatore, affinchè tutti i dati siano aggiornati nel mio sistema. 	Design API			Non iniziata 	8	8	8	8	8	8	8	8	8	8	8
		Implementazione metodo REST	Creare endpoint PUT/PATCH per aggiornamento dati allevamento con validazione input.		Non iniziata 	8	8	8	8	8	8	8	8	8	8	8
		Progettazione e implementazione DB	Garantire aggiornamento consistente dei dati e gestione versionamento modifiche.		Non iniziata 	3	3	3	3	3	3	3	3	3	3	3
		Sviluppo UI	Implementare schermata modifica con caricamento dati esistenti e validazioni.		Non iniziata 	8	8	8	8	8	8	8	8	8	8	8
		Documentazione	Descrivere campi modificabili e regole di aggiornamento.		Non iniziata 	2	2	2	2	2	2	2	2	2	2	2
		Testing	Verificare aggiornamenti corretti, campi invalidi e gestione concorrenza.		Non iniziata 	2	2	2	2	2	2	2	2	2	2	2
		Deploy	Eseguire test regressivi post-rilascio e controllo compatibilità API.		Non iniziata 	½	½	½	½	½	½	½	½	½	½	½
48	Come allevatore, voglio modifica le informazioni relative alle mucche, affinchè tutti i dati nel sistema rispecchino la corrente realtà delle cose. 	Design API			Non iniziata 	8	8	8	8	8	8	8	8	8	8	8
		Implementazione metodo REST	Creare endpoint PUT/PATCH per modifica dati mucca con controlli sui campi sensibili.		Non iniziata 	8	8	8	8	8	8	8	8	8	8	8
		Progettazione e implementazione DB	Gestire storico modifiche e mantenere integrità dei dati anagrafici e clinici.		Non iniziata 	3	3	3	3	3	3	3	3	3	3	3
		Sviluppo UI	Fornire interfaccia intuitiva per modifica dati con validazioni dinamiche.		Non iniziata 	8	8	8	8	8	8	8	8	8	8	8
		Documentazione	Documentare regole di aggiornamento e struttura delle richieste API.		Non iniziata 	2	2	2	2	2	2	2	2	2	2	2
		Testing	Testare modifiche parziali, dati non validi e aggiornamenti simultanei.		Non iniziata 	2	2	2	2	2	2	2	2	2	2	2
		Deploy	Verificare corretto aggiornamento dati in ambiente produttivo e monitorare errori runtime.		Non iniziata 	½	½	½	½	½	½	½	½	½	½	½
Total						349	347	330	259	231	197	166	109	55	51	31
Ideal						349	314,1	279,2	244,3	209,4	174,5	139,6	104,7	69,8	34,9	0
