Id 	Name 	User Story	How to demo 	Importance (10,20..) 	Definition of Done		Suggerimenti
16	Creazione lotti 	Come azienda, voglio poter creare lotti di produzione affinché io possa avere un registro sempre aggiornato senza necessitare di inserimenti manuali.	Effettuare il login come "Azienda", andare nella sezione "Registro Produzione" e cliccare sul pulsante "Nuovo Lotto di Oggi". Il sistema apre una schermata di riepilogo in cui i seguenti campi sono già precompilati e non modificabili: codice lotto, data e ora di creazione, azienda di origine. Selezionare il pulsante "Collega Mungitura Giornaliera". Il sistema interroga i dati registrati dai sensori della stalla e calcola la quantità totale di latte munto nelle ultime 12/24 ore. Compila automaticamente il campo quantitàProdotta senza che l'allevatore debba trascrivere il dato a mano. Cliccare su "Conferma e Registra Lotto". Il sistema salva il lotto nel database e lo aggiunge al "Registro Storico Lotti". Viene mostrato un messaggio di successo: "Lotto registrato correttamente!". Il sistema genera istantaneamente un QR Code univoco associato al lotto, pronto per essere stampato sulle etichette o condiviso con i trasformatori/distributori. Navigare nella sezione "Storico Lotti". Il nuovo lotto compare in cima alla lista. L'allevatore può visualizzare in un'unica riga: codice, data, quantità e lo stato del lotto ("Disponibile", "In lavorazione", "Spedito").	260			
17	Tracciamento lotti di produzione 	Come azienda, voglio tracciare i miei lotti di produzione affinché l'origine e l'intera lavorazione dentro ogni mio prodotto siano accessibili.	Effettuare il login come "Azienda", accedere alla sezione "Tracciamento Lotti" e selezionare un lotto specifico. l sistema mostra una linea del tempo (Timeline) interattiva che traccia cronologicamente i passaggi del lotto: - Creato: Data e ora della mungitura e quantità raccolta. - Analizzato: Esito dei test di qualità (es. Parametri ottimali). - In Lavorazione: Eventuale pastorizzazione o trasformazione in derivati. - Pronto per la Spedizione: Il lotto è sigillato e pronto per il ritiro. Aprire la scheda di un lotto di prodotto trasformato e cliccare su "Dettagli Origine". Il sistema mostra l'albero di tracciabilità (Genealogia del lotto), evidenziando quale lotto di latte crudo è stato utilizzato come ingrediente base e da quali mucche specifiche proveniva. All'interno della scheda del lotto, cliccare sul pulsante "Rendi Pubblico / Genera Link Pubblico". Il sistema attiva la visibilità pubblica per quel lotto. Genera un URL univoco e un QR Code scaricabile). Chiunque acceda a quel link (es. il distributore o il consumatore finale) potrà vedere la storia del prodotto senza dover effettuare il login. Tentare di modificare la data di creazione o i parametri di un lotto già contrassegnato come "Spedito". Il sistema impedisce qualsiasi modifica e restituisce un avviso: "Questo lotto è già stato distribuito. I dati di tracciabilità sono congelati e non possono essere alterati".	270			
18	Generazione schede prodotto 	Come azienda, voglio generare schede informative certificate riconducibili al singolo prodotto affinché l'utenza possa accedere ai dati relativi alla sua origine.	Effettuare il login come "Azienda", andare nella sezione "Schede Prodotto" e cliccare su "Genera Nuova Scheda". Il sistema permette di selezionare un lotto di produzione esistente. In automatico, il sistema compila la bozza della scheda inserendo denominazione commerciale del prodotto, ingredienti e allergeni, gli indici di qualità calcolati e i dati sul benessere degli animali. Rivedere i dati della scheda e cliccare sul pulsante "Certifica e Pubblica". Il sistema applica un "Sigillo Digitale" alla scheda. Lo stato della scheda passa da Bozza ad Approvata/Certificata. Viene mostrato un messaggio di successo: "Scheda prodotto certificata con successo. I dati non sono più modificabili". Cliccare sul pulsante "Scarica Kit Etichetta". Il sistema genera un pacchetto contenente il QR Code univoco da stampare sul packaging fisico del prodotto, un file PDF della scheda informativa (ottimizzato per la stampa o la consultazione), un link pubblico che punta alla landing page del consumatore. Simulare l'accesso del consumatore scansionando il QR Code appena generato o aprendo il link pubblico. L'utente visualizza una pagina web ottimizzata per dispositivi mobile che mostra la scheda del prodotto con una grafica chiara, i dati di tracciabilità della stalla e il badge di qualità certificato dall'azienda.	500			
19	Risposta recensioni azienda	Come azienda, voglio poter rispondere alle recensioni dei consumatori affinché si instauri un canale di comunicazione tra le due parti.	Effettuare il login come "Azienda", andare nella dashboard aziendale e cliccare sulla sezione "Gestione Recensioni". Il sistema mostra l'elenco cronologico di tutte le recensioni lasciate dai consumatori autenticati. Per ogni recensione sono visibili nome del consumatore (o pseudonimo), voto in stelle e testo del commento, data di pubblicazione, un pulsante "Rispondi" per i commenti che non hanno ancora una risposta aziendale. Scegliere una recensione specifica, cliccare su "Rispondi", inserire il testo della risposta e cliccare su "Invia Risposta". Il sistema valida l'input e salva la risposta nel database, associandola in modo permanente alla recensione originale. Viene mostrato un messaggio di successo: "Risposta pubblicata con successo". Scorrere la pagina delle recensioni dell'azienda. Sotto la recensione del consumatore compare un riquadro dedicato che identifica la risposta ufficiale dell'azienda, con la data corrente e il badge "Risposta del Produttore". Verificare l'area notifiche o la casella email del consumatore che aveva originariamente lasciato la recensione. Il consumatore riceve una notifica: "L'azienda 'Società Agricola Verde' ha risposto alla tua recensione", con il link per visualizzare il testo completo.	450			
20	GUI user-friendly	Come azienda, voglio essere in grado di visualizzare tutte le informazioni a me relative in modo intuitivo affinché ne venga ottimizzata la gestione. 	Effettuare il login come "Azienda". Il sistema mostra una schermata principale pulita e organizzata in Widget riassuntivi (senza costringere l'utente a cercare nei sottomenù), quali Sezione Animali (un contatore visivo del bestiame), Stato Notifiche/Alert (un indicatore visivo) per le anomalie IoT attive, Ultimi Lotti: (una mini-tabella con gli ultimi 3 lotti prodotti e il loro stato attuale). Cliccare sul widget "Andamento Qualità Latte" o "Stato Salute Mandria". Invece di una lunga lista di numeri, il sistema mostra un grafico a linee o a barre interattivo. In questo modo l'utente vede l'andamento della produzione di latte dell'ultimo mese. Spostando il cursore sui punti del grafico, compaiono dei pop-up (tooltip) con i dati precisi del giorno. Utilizzare il menu di navigazione laterale (Sidebar) per passare da una sezione all'altra. Il menu è sempre visibile e utilizza icone intuitive accanto al testo. È presente un pulsante di azione rapida ("Quick Action") sempre in primo piano per creare un nuovo lotto o registrare un evento sanitario con un solo click. Ridimensionare la finestra del browser o visualizzare la GUI su un tablet/smartphone. L'interfaccia si adatta automaticamente (Responsive Web Design): i widget si impilano verticalmente, il menu laterale si contrae in un menu "hamburger" (≡), garantendo che l'allevatore possa usare il software comodamente anche mentre si trova nella stalla o sul trattore.	490			
21	Storytelling Divulgativo	Come azienda, voglio poter aggiungere alle schede prodotto curiosità relative alle vacche interessate, affinché si faccia divulgazione sulla reale vita all'interno dell'allevamento.	Effettuare il login come "Azienda", andare nella sezione "Anagrafica Animali", selezionare la mucca "Stella" e cliccare su "Aggiungi Curiosità/Storytelling". Il sistema apre un editor di testo semplice in cui l'allevatore inserisce l'aneddoto, con i campi Titolo della Curiosità, Testo del Racconto, Tipo di curiosità. Creare o modificare una scheda prodotto collegata al lotto di latte prodotto dal gruppo di Stella e cliccare su "Includi Storytelling". Il sistema recupera automaticamente l'aneddoto di Stella precedentemente salvato e lo inserisce in una sezione dedicata della scheda prodotto, denominata "L'Angolo del Pascolo: Conosci le nostre mucche". Provare a salvare una curiosità lasciando il testo vuoto. Il sistema blocca il salvataggio evidenziando il campo: "Il testo della curiosità non può essere vuoto se desideri pubblicarlo". Simulare la visualizzazione della scheda prodotto da parte di un consumatore. Sotto i dati tecnici (scadenza, valori nutrizionali, analisi di laboratorio), il consumatore visualizza un box grafico accattivante con una foto o un'icona e la curiosità inserita dall'allevatore.	460			
22	Aggiornamento filiera distributore	Come distributore, voglio registrare il mio passaggio nella filiera e aggiornare le informazioni sul lotto, affinchè il consumatore possa sapere che io rivendo quel prodotto. 	Effettuare il login come "Distributore", andare nella sezione "Gestione Logistica" e inserire il codice del lotto ricevuto dall'azienda (es. LOT-20260502-AZ123) oppure scansionare il QR Code del bancale. Il sistema trova il lotto, ne mostra i dati di origine (produttore, data di mungitura) e sblocca il pulsante "Registra Passaggio Distributore". Cliccare su "Registra Passaggio" e compilare il modulo con i dati relativi al proprio transito: Nome del Distributore, Data di Ricezione Merce, Temperatura di Stoccaggio/Trasporto, Punto di Vendita di Destinazione. Il sistema valida l'input e verifica che la temperatura di trasporto sia coerente con i limiti di legge per i prodotti deperibili. Cliccare su "Conferma e Aggiorna Filiera". Il sistema salva il passaggio logistico nel database, legandolo indissolubilmente al lotto. Viene mostrato un messaggio di successo: "Passaggio registrato. La filiera del lotto è stata aggiornata". Lo stato del lotto avanza a "In Distribuzione" o "Presso il Rivenditore". Aprire la scheda pubblica del lotto. Nella timeline o nella mappa della filiera del prodotto, il consumatore visualizza un nuovo nodo che attesta il passaggio.	530			
23	Risposta recensioni distributore 	Come distributore, voglio poter rispondere alle recensioni lasciate dai consumatori sui lotti da me distribuiti per coltivare il rapporto con la mia clientela. 	Effettuare il login come "Distributore", andare nella sezione "Recensioni Ricevute". Il sistema mostra l'elenco dei commenti dei consumatori che menzionano o sono legati a lotti transitati nella sua rete logistica. È visibile il pulsante "Rispondi come Distributore". Selezionare una recensione specifica, cliccare su "Rispondi", inserire il testo e cliccare su "Pubblica". Il sistema valida il testo. Salva la risposta nel database, associandola alla recensione del consumatore e al proprio profilo di distributore. Viene mostrato un messaggio di successo: "Risposta del distributore pubblicata con successo". Aprire la pagina delle recensioni di quel lotto/prodotto come consumatore. Sotto la recensione originale compare un riquadro di risposta chiaramente distinto da quello del produttore originario. Accedere all'area notifiche del consumatore che ha originariamente scritto la recensione. Il consumatore riceve una notifica.	550			
24	Registro dati sanitari 	Come veterinario, voglio registrare i dati sanitari e gli esiti delle visite agli animali nel sistema, affinchè l'allevatore o chi ne necessita abbiano prova documentata dello stato di salute del bestiame.	Effettuare il login come "Veterinario", selezionare l'azienda cliente e cercare l'animale tramite il suo Codice Auricolare. Il sistema mostra l'anagrafica della mucca e sblocca il pulsante "Registra Visita / Esito Sanitario". Cliccare su "Registra Visita" e compilare il modulo con i dati dell'intervento: tipo di visita, esito/diagnosi, terapia/farmaci, periodo di spspensione latte. Il sistema valida l'input. Se viene inserito un farmaco, il sistema calcola o richiede obbligatoriamente i giorni di sospensione del latte per garantire la sicurezza alimentare. Cliccare su "Firma e Salva Visita". Il sistema registra la visita nella Cartella Clinica della mucca. Il record viene "congelato" e firmato digitalmente con l'ID e il numero di iscrizione all'Albo del Veterinario. Viene mostrato un messaggio di successo: "Esito sanitario registrato e archiviato nella cartella clinica". Effettuare il login come "Azienda" e aprire la cartella clinica della mucca "Stella". Risultato atteso: L'allevatore visualizza l'ultimo intervento inserito dal veterinario nella timeline sanitaria. È visibile il badge "Certificato da Veterinario" con il nome del medico e la data corrente (02/05/2026), garantendo la massima trasparenza interna ed esterna.	560			
25	Importazione dati IoT	Come azienda, voglio che il sistema importi automaticamente i dati dai sensori (podometro, tag ID, parametri vitali), affinché io possa monitorare la salute e il benessere di ogni animale in tempo reale senza interventi manuali.	Simulare l'invio di un pacchetto di dati IoT da un sensore associato al tag ID della Mucca "Stella". Il sistema di Ingestion riceve il pacchetto via API (o protocollo MQTT). Senza alcun intervento dell'utente, il sistema riconosce il Tag ID e associa i parametri vitali direttamente all'animale corretto nel database. Visualizzare la scheda della Mucca "Stella" nella dashboard dell'allevatore subito dopo l'invio del pacchetto di test. I dati a schermo si aggiornano istantaneamente (o al primo refresh) mostrando le nuove metriche: temperatura corporea, attività motoria, tempo di ruminazione. Inviare un pacchetto dati IoT malformato. Il sistema di backend scarta il pacchetto non valido, registra l'errore nei log di sistema per la diagnostica e non altera i dati storici dell'animale. Accedere alla tab "Grafici e Trend IoT" sul profilo dell'animale. Il sistema mostra l'ultimo dato ricevuto come punto finale di un grafico temporale (es. andamento dei passi o della temperatura nelle ultime 24 ore), dimostrando la corretta storicizzazione dei dati importati.	290			
